nom;puissance;diesel;prixDeBase
208 Access 1.2 3P;82;0;13000
208 Active 1.6 e-HDi FAP 5P;92;1;18750
208 XY 1.6 e-HDi FAP 3P;115;1;22400
208 GTi 1.6;200;0;23100
308 Access 1.4;98;0;19135
308 Allure 2.0 HDi FAP;150;1;26615
308 SW Active 1.6 HDi FAP;92;1;23920
308 CC Sport Pack 1.6;120;0;27725
RCZ 1.6;200;0;30550
RCZ 2.0 HDi FAP;163;1;30150
3008 Active 1.6;120;0;22720
3008 Allure 2.0 HDi FAP;150;1;29440
3008 Rolland Garros 1.6 HDi FAP;115;1;30135
3008 HYbrid4 88g 2.0 HDi FAP;163;1;35000
5008 Active 1.6;120;0;24180
5008 Allure 1.6 e-HDi FAP;115;1;28530
508 Access 1.6;116;0;24600
508 Style 1.6 HDi FAP;115;1;27100
508 GT 2.2 HDi FAP;204;1;38550
508 SW Style 1.6 HDi FAP;115;1;28500
508 SW Allure 1.6;156;0;31050
508 RXH 2.0 HDi FAP;163;1;42300
4008 Allure 1.8 HDi FAP;150;1;32600
807 Access 2.0 HDi FAP;136;1;32150