code;intitule;prix
0MM0;Peinture metallisee;450
ZH75;Jantes alliage leger 15p;450
VD09;Vitres laterales arrieres surteintees;150
PR01;Phares antibrouillard avant;150
FE10;Pack LED;350
OK01;Toit panoramique vitre;450
HU02;Retroviseurs exterieurs rabattables electriquement;200
AB08;Alarme volumetrique et perimetrique;350
J2U7;Pack Cool Air conditionne;900
UB01;Detecteur d'obstacles arriere;250
LE05;Leve-vitres arriere electriques;200
VH02;Volant croute de cuir noir;150
WLQL;Lecteur CD dans boite a gants;150
WLQU;Systeme de navigation Europe;490
UN01;Pack Hi-fi;500
NA01;Sieges avant chauffants;350
UB03;Detecteur d'obstacles avant;150
OP8Y;Garnissage mi-cuir/tissu;900
0MM6;Peinture nacree;670
TC07;Toit ouvrant electrique vitre;800